"","Habt.G","Habt.J","Habt.P","Shal.GJ","Shal.JP","Shal.GP","Deep.GJ","Deep.JP","Deep.GP","West.GW","West.JW","West.PW"
"597",0.00546448087431696,-0.0848079053894572,-0.0056079485364865,-0.0170068027210884,-0.0778882004204841,-0.050163217235615,-0.0830922890553536,-0.0210124164278892,-0.0516596383872912,-0.0498281786941581,-0.0211439245976831,-0.0474195593158729
"598",-0.0821114369501466,0.099245732184415,0.249061755127717,-0.0798557210565795,0.136417626296237,0.147049531001549,0.0715667311411992,0.208211143695015,-0.0420624151967436,-0.0368198249176381,0.0332221368308152,0.0444494857988099
"599",0.00757575757575759,0.0921321169947257,0.167578109069068,-0.0581265561947282,0.0473245202746903,0.167578109069068,0.00826446280991734,0.21969696969697,0.00757575757575759,-0.0368198249176381,-0.0151861848570198,0.114998509094523
"600",-0.0218314728835326,-0.037037037037037,-0.0115339927648328,-0.0311958405545927,0.0246913580246914,0.0284935944632602,-0.0268628268509143,-0.00293259399946151,-0.0141678967317749,0.00943175352289546,0.0326392082850935,-0.00750391570917418
"601",-0.0728397169284251,NA,NA,-0.0316529894490035,NA,-0.0461956521739131,9.0205620750794e-17,NA,0.0095806893119324,0.0095806893119324,NA,NA
"602",0.0268917170323341,-0.0615990634959968,-0.0900752025120597,0.0829588101746746,-0.097675765694012,0.091108214367403,-0.0419195521403867,-0.0724942380323888,-0.0624156971983175,-0.0757575757575758,0.0173812282734647,-0.0292961649823154
"603",0.0193164933135215,NA,0.0263797292606734,NA,NA,NA,-0.00763358778625956,0.0263797292606734,-0.0696907532736441,0.200359639740191,0.353503338428123,0.167177909150297
"604",-0.00380983932416753,0.011485158622802,NA,0.00669537092354926,NA,1.00613961606655e-16,1.11022302462516e-16,0.0179677501919632,NA,NA,0.0079449609948474,NA
"605",0.0372285807981163,NA,-0.0125424334464892,0.0458554758121953,NA,0.0324763193504737,NA,-0.0125424334464892,-0.00950943396226415,0.118487245434399,0.111669347852989,0.0620528657093829
"606",-0.0032208193764494,-0.0091150317000546,NA,-0.0384043233902422,-0.0091150317000546,-0.00677051392125601,NA,NA,NA,NA,NA,NA
"607",-0.00380983932416753,0.011485158622802,NA,NA,NA,NA,-0.0453599013129463,0.0179677501919632,0.0125423053951823,0.00347801892042303,0.0079449609948474,NA
"608",0.270890750369958,0.317430306931091,0.0959786509616269,NA,NA,NA,-0.0614637681302116,0.0386543313708999,0.0116855036620802,0.058893515764426,0.0929564249172816,-0.040043163795039
"609",NA,NA,0.0152400114112402,NA,0.00669537092354926,0.00669537092354926,NA,NA,NA,-0.0115794349235758,-0.0115794349235758,0.0143357757247531
"610",0.0505173463177115,NA,0.15807903951976,0.0649083747216989,0.131306800376058,-0.075750469043152,NA,NA,NA,NA,NA,NA
"611",NA,-0.0057735694871293,-0.0598330344242498,0.00255416593271102,-0.0397389935899896,0.00970390644438924,NA,-0.0219160926737633,-0.0166762507188039,0.0346347260149997,0.0305620859157939,-0.049641855471193
"612",0.0261116315449609,-0.0256274629076195,-0.0209202878139963,0.0579710144927536,-0.0317460317460317,0.111111111111111,-0.00118049083566323,-0.00766350256901506,-0.0430201931518876,-0.0224375318714941,0.0684199723025518,-0.0291771651782386
"613",-0.0179737144973431,NA,-0.041889013441511,0.05,0.0117800235600471,-0.041889013441511,-0.0206505919836369,0.0295562708888444,-0.0179737144973431,-0.0123395932071856,0.0397978521794062,-0.0466874166296132
"614",-0.0179737144973431,NA,-0.041889013441511,0.05,0.0117800235600471,-0.041889013441511,-0.0206505919836369,0.0295562708888444,-0.0179737144973431,-0.0123395932071856,0.0397978521794062,-0.0466874166296132
"615",0.00606060606060612,-0.0497017892644135,-0.051343850423605,0.00606060606060612,-0.0406464365700549,-0.0183679924674311,-0.0497017892644135,-0.056972169605129,-0.0455212109472286,-0.0101010101010101,-0.0199940513566212,-0.00704731770458795
"616",0.0361752739467835,-0.00766350256901506,-0.0270595377920007,0.0348564892979686,-0.0367647058823529,0.0958057048217169,-0.00118049083566323,0.00886770611521583,-0.0397808901690741,-0.0224375318714941,0.0684199723025518,-0.0353535353535354
"617",-0.0179737144973431,NA,-0.041889013441511,0.05,0.0117800235600471,-0.041889013441511,-0.0206505919836369,0.0295562708888444,-0.0179737144973431,-0.0123395932071856,0.0397978521794062,-0.0466874166296132
"618",0.0745672747789432,-0.0525633586290572,0.0501515875547241,0.138830698914492,0.0232493069646817,-0.0048295155141845,-0.0631348070128425,-0.0317622406808082,-0.00972525766605993,-0.0120275664485924,-0.0338769503021852,0.0556091318345766
