SIMGD6824H,GD,0.3457,0.2637,0.3906
SIMGD6825H,GD,0.3740,0.3350,0.2910
SIMGD6826H,GD,0.3826,0.3447,0.2727
SIMGD6827H,GD,0.3554,0.3483,0.2963
SIMGD6828H,GD,0.3560,0.3270,0.3170
SIMGD6829H,GD,0.3790,0.3100,0.3110
SIMGD6831H,GD,0.2282,0.4494,0.3223
SIMGD6833H,GD,0.4064,0.3333,0.2603
SIMGD6840H,GD,0.4464,0.2633,0.2903
SIMGD6841H,GD,0.3180,0.3940,0.2880
SIMGD6844H,GD,0.4600,0.3070,0.2330
SIMGD6846H,GD,0.3820,0.3370,0.2810
SIMGD6847H,GD,0.3130,0.3660,0.3210
SIMGD6848H,GD,0.4200,0.3360,0.2440
SIMGD6851H,GD,0.1950,0.4610,0.3440
SIMGS6764H,GS,0.3210,0.3750,0.3040
SIMGS6765H,GS,0.3560,0.3800,0.2640
SIMGS6767H,GS,0.3250,0.3880,0.2870
SIMGS6768H,GS,0.3560,0.3580,0.2860
SIMGS6769H,GS,0.3640,0.2880,0.3480
SIMGS6771H,GS,0.3836,0.3357,0.2807
SIMGS6773H,GS,0.3020,0.4030,0.2950
SIMGS6775H,GS,0.3590,0.3220,0.3190
SIMGS6776H,GS,0.4400,0.2840,0.2760
SIMGS6778H,GS,0.5150,0.3030,0.1820
SIMGS6780H,GS,0.4080,0.3060,0.2860
SIMGS6784H,GS,0.2900,0.4220,0.2880
SIMGS6785H,GS,0.3900,0.3350,0.2750
SIMGS6788H,GS,0.3710,0.3590,0.2700
SIMGS6789H,GS,0.3810,0.3340,0.2850
SIMGS6790H,GS,0.4346,0.3047,0.2607
SIMJD6884H,JD,0.4590,0.2600,0.2810
SIMJD6886H,JD,0.3110,0.4250,0.2640
SIMJD6887H,JD,0.3450,0.3770,0.2780
SIMJD6888H,JD,0.3540,0.3500,0.2960
SIMJD6894H,JD,0.4150,0.3200,0.2650
SIMJD6895H,JD,0.2740,0.4670,0.2590
SIMJD6896H,JD,0.4550,0.2710,0.2740
SIMJD6897H,JD,0.3430,0.3820,0.2750
SIMJD6898H,JD,0.3750,0.3770,0.2480
SIMJD6899H,JD,0.3850,0.3090,0.3060
SIMJD6905H,JD,0.3906,0.2937,0.3157
SIMJD6906H,JD,0.3670,0.3330,0.3000
SIMJD6907H,JD,0.3660,0.3570,0.2770
SIMJD6908H,JD,0.3740,0.3390,0.2870
SIMJD6913H,JD,0.2610,0.4620,0.2770
SIMJS6704H,JS,0.3300,0.3910,0.2790
SIMJS6706H,JS,0.2640,0.4320,0.3040
SIMJS6707H,JS,0.3437,0.3307,0.3257
SIMJS6709H,JS,0.4134,0.3093,0.2773
SIMJS6711H,JS,0.3860,0.3220,0.2920
SIMJS6713H,JS,0.3950,0.2740,0.3310
SIMJS6715H,JS,0.3130,0.3930,0.2940
SIMJS6716H,JS,0.2380,0.4520,0.3100
SIMJS6717H,JS,0.3170,0.3590,0.3240
SIMJS6718H,JS,0.3870,0.3440,0.2690
SIMJS6725H,JS,0.5365,0.1818,0.2817
SIMJS6726H,JS,0.3380,0.3780,0.2840
SIMJS6727H,JS,0.4010,0.2970,0.3020
SIMJS6728H,JS,0.3656,0.3207,0.3137
SIMPD7015H,PD,0.3690,0.3990,0.2320
SIMPD7016H,PD,0.3320,0.3690,0.2990
SIMPD7018H,PD,0.4200,0.3810,0.1990
SIMPD7019H,PD,0.3430,0.3730,0.2840
SIMPD7021H,PD,0.3510,0.3740,0.2750
SIMPD7022H,PD,0.3410,0.3090,0.3500
SIMPD7023H,PD,0.3250,0.3750,0.3000
SIMPD7024H,PD,0.3910,0.3170,0.2920
