SIMGD6824H,GD,0.2232,0.7768
SIMGD6825H,GD,0.1700,0.8300
SIMGD6826H,GD,0.1693,0.8307
SIMGD6827H,GD,0.1883,0.8117
SIMGD6828H,GD,0.1514,0.8486
SIMGD6829H,GD,0.1741,0.8259
SIMGD6831H,GD,0.1892,0.8108
SIMGD6833H,GD,0.1471,0.8529
SIMGD6840H,GD,0.1627,0.8373
SIMGD6841H,GD,0.1591,0.8409
SIMGD6844H,GD,0.1336,0.8664
SIMGD6846H,GD,0.1593,0.8407
SIMGD6847H,GD,0.1896,0.8104
SIMGD6848H,GD,0.1494,0.8506
SIMGD6851H,GD,0.2198,0.7802
SIMGS6764H,GS,0.1644,0.8356
SIMGS6765H,GS,0.1613,0.8387
SIMGS6767H,GS,0.1788,0.8212
SIMGS6768H,GS,0.1555,0.8445
SIMGS6769H,GS,0.1924,0.8076
SIMGS6771H,GS,0.1552,0.8448
SIMGS6773H,GS,0.1871,0.8129
SIMGS6775H,GS,0.1857,0.8143
SIMGS6776H,GS,0.1819,0.8181
SIMGS6778H,GS,0.1721,0.8279
SIMGS6780H,GS,0.1858,0.8142
SIMGS6784H,GS,0.1726,0.8274
SIMGS6785H,GS,0.1858,0.8142
SIMGS6788H,GS,0.1491,0.8509
SIMGS6789H,GS,0.1822,0.8178
SIMGS6790H,GS,0.1782,0.8218
SIMJD6884H,JD,0.1522,0.8478
SIMJD6886H,JD,0.1724,0.8276
SIMJD6887H,JD,0.1622,0.8378
SIMJD6888H,JD,0.1889,0.8111
SIMJD6894H,JD,0.1706,0.8294
SIMJD6895H,JD,0.1963,0.8037
SIMJD6896H,JD,0.1525,0.8475
SIMJD6897H,JD,0.1945,0.8055
SIMJD6898H,JD,0.1472,0.8528
SIMJD6899H,JD,0.1708,0.8292
SIMJD6905H,JD,0.1887,0.8113
SIMJD6906H,JD,0.1770,0.8230
SIMJD6907H,JD,0.1585,0.8415
SIMJD6908H,JD,0.1633,0.8367
SIMJD6913H,JD,0.1799,0.8201
SIMJS6704H,JS,0.1815,0.8185
SIMJS6706H,JS,0.1772,0.8228
SIMJS6707H,JS,0.1895,0.8105
SIMJS6709H,JS,0.1777,0.8223
SIMJS6711H,JS,0.1864,0.8136
SIMJS6713H,JS,0.1877,0.8123
SIMJS6715H,JS,0.1899,0.8101
SIMJS6716H,JS,0.1919,0.8081
SIMJS6717H,JS,0.1824,0.8176
SIMJS6718H,JS,0.1723,0.8277
SIMJS6725H,JS,0.1910,0.8090
SIMJS6726H,JS,0.1941,0.8059
SIMJS6727H,JS,0.1796,0.8204
SIMJS6728H,JS,0.1925,0.8075
SIMPD7015H,PD,0.1459,0.8541
SIMPD7016H,PD,0.1792,0.8208
SIMPD7018H,PD,0.1437,0.8563
SIMPD7019H,PD,0.1844,0.8156
SIMPD7021H,PD,0.2049,0.7951
SIMPD7022H,PD,0.1788,0.8212
SIMPD7023H,PD,0.1866,0.8134
SIMPD7024H,PD,0.1985,0.8015
SIMPD7025H,PD,0.1537,0.8463
SIMPD7027H,PD,0.1696,0.8304
SIMPD7035H,PD,0.1538,0.8462
SIMPD7036H,PD,0.1689,0.8311
SIMPD7037H,PD,0.1727,0.8273
SIMPD7040H,PD,0.1675,0.8325
SIMPD7041H,PD,0.2035,0.7965
SIMPS6633H,PS,0.1705,0.8295
SIMPS6634H,PS,0.1784,0.8216
SIMPS6635H,PS,0.2048,0.7952
SIMPS6638H,PS,0.1671,0.8329
SIMPS6639H,PS,0.1725,0.8275
SIMPS6641H,PS,0.1731,0.8269
SIMPS6642H,PS,0.1808,0.8192
SIMPS6643H,PS,0.1920,0.8080
SIMPS6644H,PS,0.1867,0.8133
SIMPS6645H,PS,0.1610,0.8390
SIMPS6646H,PS,0.1694,0.8306
SIMPS6652H,PS,0.1573,0.8427
SIMPS6654H,PS,0.1556,0.8444
SIMPS6657H,PS,0.1738,0.8262
SIMPS6658H,PS,0.1333,0.8667
SIMPS6661H,PS,0.1592,0.8408
SIMWD6945H,WD,0.1838,0.8162
SIMWD6947H,WD,0.1745,0.8255
SIMWD6948H,WD,0.1506,0.8494
SIMWD6954H,WD,0.1721,0.8279
SIMWD6955H,WD,0.1459,0.8541
SIMWD6956H,WD,0.1571,0.8429
SIMWD6957H,WD,0.1805,0.8195
SIMWD6958H,WD,0.1841,0.8159
SIMWD6959H,WD,0.1772,0.8228
SIMWD6962H,WD,0.1746,0.8254
SIMWD6967H,WD,0.1516,0.8484
SIMWD6968H,WD,0.1853,0.8147
SIMWD6969H,WD,0.1713,0.8287
SIMWD6972H,WD,0.1752,0.8248
