SIMGD6824H,GD,0.0020,0.0020,0.9720,0.0030,0.0040,0.0040,0.0130
SIMGD6825H,GD,0.0030,0.0050,0.9710,0.0020,0.0030,0.0070,0.0090
SIMGD6826H,GD,0.0050,0.0020,0.9690,0.0060,0.0070,0.0070,0.0040
SIMGD6827H,GD,0.0010,0.0060,0.9740,0.0040,0.0110,0.0020,0.0020
SIMGD6828H,GD,0.0100,0.0110,0.9161,0.0030,0.0120,0.0090,0.0390
SIMGD6829H,GD,0.0050,0.0180,0.9410,0.0090,0.0060,0.0100,0.0110
SIMGD6831H,GD,0.0040,0.0030,0.9790,0.0040,0.0020,0.0060,0.0020
SIMGD6833H,GD,0.0030,0.0050,0.9600,0.0030,0.0020,0.0050,0.0220
SIMGD6840H,GD,0.0080,0.0220,0.8840,0.0380,0.0260,0.0080,0.0140
SIMGD6841H,GD,0.0160,0.0030,0.9459,0.0070,0.0060,0.0090,0.0130
SIMGD6844H,GD,0.0250,0.0220,0.8920,0.0120,0.0150,0.0160,0.0180
SIMGD6846H,GD,0.0020,0.1700,0.8020,0.0080,0.0050,0.0100,0.0030
SIMGD6847H,GD,0.0090,0.0070,0.9010,0.0030,0.0040,0.0210,0.0550
SIMGD6848H,GD,0.0220,0.0110,0.9271,0.0060,0.0030,0.0270,0.0040
SIMGD6851H,GD,0.0320,0.0010,0.9580,0.0010,0.0020,0.0020,0.0040
SIMGS6764H,GS,0.0160,0.0030,0.0030,0.9391,0.0160,0.0200,0.0030
SIMGS6765H,GS,0.0550,0.0020,0.0020,0.9110,0.0060,0.0140,0.0100
SIMGS6767H,GS,0.0110,0.0050,0.0020,0.9620,0.0100,0.0050,0.0050
SIMGS6768H,GS,0.0220,0.0370,0.0170,0.8420,0.0030,0.0730,0.0060
SIMGS6769H,GS,0.0020,0.0030,0.0040,0.9630,0.0230,0.0030,0.0020
SIMGS6771H,GS,0.0030,0.0030,0.0030,0.9810,0.0020,0.0030,0.0050
SIMGS6773H,GS,0.0070,0.0090,0.0190,0.8470,0.0490,0.0320,0.0370
SIMGS6775H,GS,0.0120,0.0050,0.0020,0.8891,0.0020,0.0020,0.0879
SIMGS6776H,GS,0.0230,0.0851,0.0601,0.7768,0.0070,0.0120,0.0360
SIMGS6778H,GS,0.0080,0.2180,0.0030,0.7070,0.0080,0.0520,0.0040
SIMGS6780H,GS,0.0060,0.0270,0.1400,0.7270,0.0130,0.0060,0.0810
SIMGS6784H,GS,0.0010,0.0420,0.0040,0.9320,0.0050,0.0060,0.0100
SIMGS6785H,GS,0.0020,0.0020,0.0030,0.9810,0.0050,0.0030,0.0040
SIMGS6788H,GS,0.0090,0.1200,0.0040,0.8540,0.0060,0.0050,0.0020
SIMGS6789H,GS,0.0030,0.0030,0.0030,0.9830,0.0030,0.0030,0.0020
SIMGS6790H,GS,0.0190,0.0100,0.0110,0.9449,0.0040,0.0080,0.0030
