SIMJS6716H,JS,0.0190,0.0060,0.8477,0.0281,0.0080,0.0010,0.0872,0.0030
SIMJS6717H,JS,0.0010,0.0080,0.0060,0.0050,0.0020,0.9690,0.0030,0.0060
SIMJS6718H,JS,0.0120,0.0070,0.8222,0.0170,0.0160,0.0030,0.0040,0.1189
SIMJS6725H,JS,0.0210,0.0130,0.8570,0.0080,0.0040,0.0040,0.0080,0.0850
SIMJS6726H,JS,0.0210,0.0150,0.8330,0.0100,0.0220,0.0050,0.0260,0.0680
SIMJS6727H,JS,0.0030,0.0250,0.7928,0.0030,0.0400,0.0160,0.1151,0.0050
SIMJS6728H,JS,0.0200,0.0599,0.4705,0.2957,0.0030,0.0040,0.1319,0.0150
SIMPD7015H,PD,0.0020,0.0020,0.0030,0.0060,0.9770,0.0020,0.0040,0.0040
SIMPD7016H,PD,0.0080,0.0030,0.0160,0.0060,0.8250,0.0060,0.1330,0.0030
SIMPD7018H,PD,0.0030,0.0050,0.0060,0.0080,0.9290,0.0020,0.0400,0.0070
SIMPD7019H,PD,0.0050,0.0030,0.0040,0.0070,0.7510,0.2270,0.0010,0.0020
SIMPD7021H,PD,0.0020,0.0040,0.0040,0.0020,0.9820,0.0010,0.0010,0.0040
SIMPD7022H,PD,0.0509,0.0190,0.0130,0.0100,0.8631,0.0030,0.0370,0.0040
SIMPD7023H,PD,0.0140,0.0140,0.0040,0.2947,0.6464,0.0030,0.0110,0.0130
SIMPD7024H,PD,0.0961,0.0821,0.0100,0.0020,0.7908,0.0020,0.0130,0.0040
SIMPD7025H,PD,0.0230,0.0500,0.0130,0.0050,0.8342,0.0050,0.0649,0.0050
SIMPD7027H,PD,0.0040,0.0040,0.0020,0.0150,0.9660,0.0040,0.0020,0.0030
SIMPD7035H,PD,0.0950,0.0130,0.0070,0.0040,0.8650,0.0050,0.0020,0.0090
SIMPD7036H,PD,0.0040,0.0340,0.0560,0.0100,0.8090,0.0050,0.0390,0.0430
SIMPD7037H,PD,0.0020,0.0040,0.0030,0.0020,0.9720,0.0050,0.0030,0.0090
SIMPD7040H,PD,0.0050,0.0100,0.0040,0.0030,0.9730,0.0010,0.0020,0.0020
SIMPD7041H,PD,0.0090,0.0490,0.0350,0.0030,0.8651,0.0210,0.0060,0.0120
SIMPS6633H,PS,0.0380,0.6216,0.0220,0.0470,0.1021,0.0771,0.0250,0.0671
SIMPS6634H,PS,0.0259,0.7246,0.0469,0.1337,0.0040,0.0030,0.0389,0.0230
