"LD1","LD2","LD3","LD4","LD5","LD6"
"AFMGD6799H",-2.21119709459915,-3.75358132063398,-0.811094176870655,0.346720479223616,-3.88921196468448,-1.54418166353874
"AFMGD6801H",-0.560820147976001,-2.77941662285373,1.07926261346484,0.856858127176747,2.03635419353854,-2.24163654260387
"AFMGD6802H",-0.777229731981466,-1.8500170016184,1.2024306678803,-2.58136321131771,0.494885035680399,1.00959975724124
"AFMGD6803H",0.369202519733212,-2.40156651239593,0.504560759879723,-0.0154823044457691,0.546151816104004,0.285966025125655
"AFMGD6804H",-2.10517572136638,-1.71171322254968,1.07929715577675,0.0133694387011244,2.88492418666634,-0.406265094205743
"AFMGD6805H",0.731824829451992,-0.00367191642820361,-1.20019188394993,0.398891992176197,0.00560471955277514,0.753882444763863
"AFMGD6812H",-0.247278991753692,-4.06344009706076,0.0861356235809045,1.20921283528638,0.238206909569182,-0.649066450756048
"AFMGD6814H",0.34916453586067,-2.5230708695173,1.14258833816476,0.733836461522802,1.05051530938171,-0.627299824646197
"AFMGD6818H",-0.606559801158587,-2.17954310494514,1.33947069827898,-2.81004221221969,0.28965320617179,2.86347314755406
"AFMGD6819H",-0.670902159454574,-2.23378428046945,1.15674608699281,0.396330878942565,2.1190019843562,0.631081325528145
"AFMGD6820H",1.36427497491342,-0.573347420758347,0.783628282730906,-0.258579959824762,-0.722841929010434,0.308090659092177
"AFMGD6821H",1.12321788436461,-1.12590482816821,0.791597331480952,-0.503754970652598,-1.21029132531493,0.314164237685819
"AFMGD6822H",-0.804010731597224,-1.99025772129501,0.534379382821789,-0.701814253231574,1.91070888501925,0.155394423062757
"AFMGS6734H",3.60219038828634,0.156819696938438,-2.29678942100973,1.05434782867152,0.995988528546406,1.89444442304209
"AFMGS6735H",2.05275096692094,0.767309622248397,0.684974506251478,1.1461384271829,-2.29219400934638,2.87214409158692
"AFMGS6736H",3.69904823293087,0.163823786578604,-0.91759670088879,-1.53785888554504,1.04717986808701,-1.07892707730507
"AFMGS6737H",1.58168995404714,-0.376346233887566,0.365004850694178,-0.341218681811475,-0.526970218122615,-0.711270985230545
"AFMGS6738H",1.91909448338222,0.998510672278909,-0.496654069262432,-1.4319290674345,-0.418965348622233,-0.683062769928321
"AFMGS6739H",2.21788334091067,1.364818855407,-1.14745495145713,-0.805031224769503,0.271182627177935,-0.193207702758906
"AFMGS6740H",1.40449203646868,2.03307823126255,-3.19833696794309,0.123015233842348,-0.481784244472077,1.04970859415812
"AFMGS6743H",2.37195231193011,2.63642500163591,-1.63195731186862,-1.7886901741731,-0.178839168487636,-0.680557016168091
"AFMGS6745H",1.5891826500438,1.40301056518422,-0.50531525087051,-0.0086370086333839,-0.921274721043629,0.996682015202857
"AFMGS6747H",2.6366021647034,0.514641315709759,-1.6286266241887,-0.645626898480324,0.958217070912011,0.0856351032722534
"AFMGS6750H",2.65041631065186,1.73339726407245,-1.03810702354593,-1.20626946643035,0.893206666101434,-0.756018814275798
"AFMGS6751H",2.21096739236133,1.76494624854581,-0.128447473202158,1.28848146572521,-0.401003594388347,0.913870354855623
"AFMGS6752H",4.23734497270968,1.398386767689,-1.79723854424627,1.14230228110242,1.25693477552253,-0.116232709269158
"AFMGS6755H",1.12105294743649,0.428563066023729,0.206798361729184,-0.187218635339967,-0.221218968188081,0.277388506616112
"AFMGS6756H",2.70889836933137,-0.187172939150542,0.0761790974523555,-1.45438679845362,0.0307775144183149,-0.708500902725783
"AFMJD6855H",-2.08150938693285,-2.56727089742999,-3.31760545823351,-0.0719578697305751,0.405430180057691,-0.343321525366772
"AFMJD6856H",-3.51943368551616,-3.42550608518037,-3.96930010088509,0.66762135641702,0.828338481610447,1.64011984340617
"AFMJD6857H",-0.736318165316392,-3.3634939235392,-0.35720352671097,1.48301448977163,-0.640152316298261,-1.70801692242236
"AFMJD6858H",-0.828316252967584,-0.682727269445942,-0.225232555365149,-0.354294318919651,-0.364767687304235,-0.87795028966068
