"GD","GS","JD","JS","PD","PS","WD"
"AFMJS6676H",1.03058470317179e-05,0.474625836602399,1.00116581405546e-07,0.377535993503246,4.89442625315278e-05,0.147778819654311,1.38988258414431e-11
"AFMJS6678H",1.96263990800413e-05,0.489610861160565,4.21844170646675e-08,0.481278711201689,0.000113836186945728,0.028976922565505,3.01797994200114e-10
"AFMJS6680H",0.00210524494670185,0.222429088926223,8.28121743627268e-05,0.680151510161872,0.00653875116930951,0.0886925895857444,3.0357861189925e-09
"AFMJS6681H",4.78204331355786e-05,0.33650962084781,1.93669059684196e-07,0.483415561254917,0.000158139525885119,0.179868664265489,3.70389714173688e-12
"AFMJS6682H",0.0263574576495433,0.448776351850245,0.000504857221242017,0.397339162684657,0.0711588360699427,0.0558633331473673,1.37700305292029e-09
"AFMJS6683H",3.32886096552669e-07,0.437508794187691,1.0594779769198e-08,0.258645483530034,1.68305300699099e-06,0.303843695745341,3.05074653972585e-12
"AFMJS6687H",1.11529322982178e-05,0.283942299827643,5.08988333616127e-08,0.63989552340596,9.11344168674353e-05,0.0760598380142235,5.04175193111839e-10
"AFMJS6694H",0.0034683644198453,0.614541303678724,7.72960770547177e-05,0.323404289585216,0.0117140328206433,0.0467946966673726,1.67511440707146e-08
"AFMJS6695H",0.000193956854492661,0.169568864968453,5.4904515673414e-07,0.449895041159287,0.000976799339558965,0.37936478861175,2.13007521395577e-11
"AFMJS6696H",0.000376005996855909,0.24819362635809,1.27319994453715e-06,0.559062498346037,0.00113536857574841,0.191231227516578,6.74630331337398e-12
"AFMJS6698H",0.00309135726549046,0.149130794465172,1.24590212838085e-06,0.389752150491924,0.00337247543660804,0.454651976436675,2.00208642908125e-12
"AFMJS6700H",7.55247122499741e-06,0.443930000655704,8.15189638274762e-08,0.435931791256808,6.98468686811083e-05,0.120060670106471,5.71221462041002e-08
"AFMJS6702H",0.00135682800596324,0.0647888185209133,7.45476676433777e-07,0.603557985257427,0.00400071528031288,0.326294906550265,9.08442761820581e-10
"AFMPD6983H",0.00612914581467932,0.300234488436322,0.00147729121308721,0.592179137652443,0.0764999537657223,0.0232480147930969,0.000231968324649141
"AFMPD6985H",0.438751459880333,2.377428388436e-05,0.247461643046053,0.000190005822501108,0.313383046051339,0.000190070855381612,6.05072111112008e-11
"AFMPD6986H",0.103281981701976,1.39686702241455e-06,0.0855175711072883,1.24674103722658e-05,0.808518751228288,3.01865650872743e-06,0.00266481302854425
"AFMPD6987H",0.507325145950101,6.4204926777993e-12,0.426313105733321,1.83719073462499e-10,0.0663617434240858,3.45383136364725e-11,4.66781418265672e-09
"AFMPD6988H",0.513253446860763,6.17257983559611e-05,9.05673251292543e-05,0.000601780423987527,0.483112026239548,0.00288045319791271,1.54302785546353e-10
"AFMPD6989H",0.0373133920764609,1.28023433800322e-06,0.358408781551717,8.30011030856361e-06,0.604267667761776,5.77869482015633e-07,3.95917264975513e-10
"AFMPD6990H",0.392234236907704,0.0051975162680614,0.00848147584597987,0.0163691984656796,0.570001226448124,0.00771634562276586,4.41685206907024e-10
"AFMPD6991H",0.12561395983631,4.50455558691726e-05,0.170577977910006,0.000155285179332815,0.70359101588772,1.61603430664002e-05,5.55287695291096e-07
"AFMPD6992H",0.218204006683523,8.04918569029712e-05,0.0111864791324313,0.000370896161917444,0.76995712930176,0.000155387725141988,4.56091383236136e-05
"AFMPD6993H",0.370840395897092,0.00709742133596966,0.0807276997068477,0.006756561265204,0.533464336890486,0.00111357325189878,1.1652501730358e-08
"AFMPD6995H",0.348016999518277,0.00583991891452603,0.0117726591345551,0.0150240445699152,0.612409735846543,0.00693662009340932,2.1922774206944e-08
"AFMPD6998H",0.0979817299012682,3.48052561025498e-05,0.0486947363392504,0.000237479965158303,0.85302132406387,2.89454410805523e-05,9.79033269870079e-07
"AFMPD7000H",0.135654873970442,4.85776983202919e-05,0.00474922966336082,7.76646105038579e-05,0.859421499760924,4.80293477241605e-05,1.24948725576138e-07
"AFMPD7001H",0.151127984679523,0.0233927842255909,0.0835275605083642,0.00970404072926789,0.731817775591912,0.000429853910198732,3.55144338415082e-10
"AFMPD7005H",0.392304790344303,2.11290241741305e-05,0.184024373328368,0.000146144684250059,0.423482490574927,2.0873580225229e-05,1.98463752818915e-07
"AFMPD7006H",0.759406591678276,7.19563620496721e-05,0.00913169075150993,0.000448571739860776,0.230590402960807,0.000350729315993063,5.71915033945018e-08
"AFMPS6602H",0.000455559440217963,0.239497624962146,1.23379808712486e-06,0.296437641733572,0.0008618416601781,0.462746098402162,3.63720059584812e-12
"AFMPS6603H",1.54925915798153e-06,0.0175514778046236,1.65476885380851e-11,0.116774542680879,1.33494339304514e-06,0.865671095295398,1.02098275093887e-16
"AFMPS6608H",0.00808254615026048,0.0973873857209003,1.63177859194741e-05,0.511240024591071,0.0107290364334532,0.372544687541758,1.77663766014346e-09
"AFMPS6610H",3.66923663920352e-05,0.171639206843877,1.00509325792567e-08,0.31329399526739,6.38535693382594e-05,0.514966241898265,3.80510645358319e-12
"AFMPS6612H",0.000271202230381658,0.051322696863558,4.63947395184061e-07,0.156673021669856,0.000985886790018189,0.790746728436666,6.21248333955747e-11
"AFMPS6613H",0.00653742093860311,0.189790553454986,0.000269067639851398,0.654826867414095,0.0436063465698165,0.104967826112567,1.91787008080881e-06
"AFMPS6618H",2.07968396871795e-07,0.00777682689696989,1.99981735588405e-11,0.0282779478777726,7.45508491838925e-07,0.963944271728369,1.36352439903979e-15
"AFMPS6622H",3.72528880760363e-06,0.0466135785479344,8.34251956112101e-10,0.128844699513518,5.66294236030634e-06,0.824532332873108,1.95882487503199e-14
"AFMPS6623H",7.20231362860284e-05,0.203077230131432,7.04046819829956e-08,0.328124287483782,0.000261390446732892,0.468464998396556,5.28878292495848e-13
"AFMPS6625H",0.000339675149355418,0.152352776804872,7.2762817807421e-07,0.500760403268648,0.0025481594811366,0.343998256578555,1.08925464524415e-09
"AFMPS6626H",0.000103750994722468,0.122848428292147,7.98827491343818e-08,0.378107924320766,0.00031337155301088,0.498626444823567,1.33037138637711e-10
"AFMPS6627H",4.49843537554024e-06,0.275233799400313,5.85432965909932e-09,0.272915291601368,5.60363577510518e-06,0.451840801072835,3.25223642370989e-15
"AFMPX6982H",0.0614001812930758,0.000896654747707274,0.16782903173012,0.00135007827403165,0.767301203766719,6.02555651682358e-05,0.00116259462317755
"AFMWD6915H",1.32766672503135e-06,1.38388200808297e-08,7.30435619304891e-05,8.72080223920178e-08,6.0737116268251e-05,8.29525002052608e-10,0.999864789778709
"AFMWD6916H",4.33146720411916e-08,7.7992445292653e-11,7.55394284061797e-06,1.60225919442489e-10,1.98696066217322e-06,7.87435530796474e-12,0.999990415535733
"AFMWD6917H",5.29629304470068e-11,1.41365555152245e-12,3.44025785621242e-08,2.94967046932945e-12,1.59112738806992e-08,8.43998100257042e-14,0.999999949628737
"AFMWD6918H",1.69803557116219e-09,3.51004913117942e-11,2.8099715275135e-07,5.65909875120089e-10,4.54000042263042e-07,4.29648802894225e-12,0.999999262699462
"AFMWD6919H",1.22063295278447e-09,1.96088579044613e-10,9.36119405059982e-09,1.03666545050883e-08,2.15072944950787e-07,4.75369414876039e-10,0.999999763307115
"AFMWD6920H",0.026438451933926,0.00160481313435163,0.0263959750706269,0.00187821291392246,0.739124368177078,0.000126066251400655,0.204432112518694
"AFMWD6921H",1.18220591667931e-11,6.79844342848966e-15,6.88218721575076e-10,1.02945023277599e-13,2.40055915971473e-09,1.87800230423723e-15,0.999999996899289
"AFMWD6922H",2.61336102871293e-09,1.20490308077119e-10,2.31273189478033e-07,8.32614676967084e-10,2.07671438331494e-07,7.02179648235385e-12,0.999999557481884
"AFMWD6923H",3.35500696195023e-08,2.11283379303415e-11,1.86327969116462e-07,4.02990524345081e-10,9.40764787640008e-07,5.16638246503005e-12,0.999998838927888
"AFMWD6924H",5.07659925147861e-14,1.70404381284037e-14,2.33547826426636e-12,4.1845110200503e-13,1.57078020914652e-11,2.95845054490682e-14,0.999999999981441
"AFMWD6926H",0.0318983422440225,4.64433709352884e-05,0.593348592990215,2.54760917207039e-05,0.259621737499497,4.65808286308729e-07,0.115058941995323
"AFMWD6933H",9.86037825631467e-14,4.03509764669381e-15,2.57018771909525e-11,1.11091010403051e-13,1.17803534405899e-10,8.62788159334759e-16,0.99999999985628
"AFMWD6935H",1.20516103496212e-17,1.6163451087193e-19,4.14343214645255e-14,3.31185380696254e-18,8.71255698409244e-15,1.18377981598625e-19,0.99999999999995
"AFMWD6936H",1.39331226967154e-07,3.48762899243218e-11,2.57282607576289e-06,1.10758810644327e-10,1.94134598620696e-05,1.17346066355079e-11,0.999977874225466
