SIMJS6716H,WD,0.0010,0.0030,0.0020,0.0010,0.0010,0.9880,0.0020,0.0020
SIMJS6717H,GD,0.0010,0.0020,0.0010,0.0010,0.0020,0.0010,0.9890,0.0030
SIMJS6718H,JS,0.0040,0.0040,0.0090,0.0010,0.0030,0.0050,0.0030,0.9710
SIMJS6725H,JD,0.0020,0.9159,0.0240,0.0040,0.0180,0.0040,0.0020,0.0300
SIMJS6726H,PD,0.0070,0.0060,0.0070,0.1620,0.8100,0.0030,0.0030,0.0020
SIMJS6727H,GS,0.0090,0.0160,0.8730,0.0020,0.0070,0.0720,0.0140,0.0070
SIMJS6728H,PS,0.9590,0.0130,0.0030,0.0010,0.0040,0.0020,0.0130,0.0050
SIMPD7015H,WD,0.0040,0.0030,0.0190,0.0020,0.0050,0.9580,0.0030,0.0060
SIMPD7016H,GD,0.0110,0.0210,0.0110,0.0010,0.0060,0.2590,0.6560,0.0350
SIMPD7018H,JS,0.0070,0.0050,0.0060,0.0710,0.0080,0.1640,0.0180,0.7210
SIMPD7019H,JD,0.0040,0.9680,0.0030,0.0020,0.0070,0.0020,0.0110,0.0030
SIMPD7021H,PD,0.0070,0.0010,0.0020,0.9720,0.0130,0.0020,0.0010,0.0020
SIMPD7022H,GS,0.0110,0.0130,0.8192,0.0010,0.0040,0.1429,0.0050,0.0040
SIMPD7023H,PS,0.8871,0.0060,0.0140,0.0619,0.0050,0.0030,0.0060,0.0170
SIMPD7024H,WD,0.0490,0.0030,0.0030,0.0040,0.0040,0.9041,0.0150,0.0180
SIMPD7025H,GD,0.0070,0.0030,0.0420,0.0980,0.0060,0.0030,0.8310,0.0100
SIMPD7027H,JS,0.0070,0.0050,0.0150,0.0030,0.0050,0.0030,0.0541,0.9079
SIMPD7035H,JD,0.0310,0.8800,0.0060,0.0090,0.0120,0.0340,0.0170,0.0110
SIMPD7036H,PD,0.0220,0.0020,0.0260,0.0060,0.9210,0.0090,0.0040,0.0100
SIMPD7037H,GS,0.0280,0.0110,0.6990,0.0060,0.2300,0.0200,0.0020,0.0040
SIMPD7040H,PS,0.9520,0.0180,0.0110,0.0010,0.0040,0.0030,0.0070,0.0040
SIMPD7041H,WD,0.0050,0.0070,0.0030,0.0050,0.0030,0.9670,0.0050,0.0050
SIMPS6633H,GD,0.0020,0.0080,0.0020,0.0010,0.0080,0.0040,0.9730,0.0020
SIMPS6634H,JS,0.0030,0.0030,0.0150,0.0050,0.0040,0.0070,0.0030,0.9600
SIMPS6635H,JD,0.0020,0.9080,0.0020,0.0810,0.0020,0.0020,0.0020,0.0010
SIMPS6638H,PD,0.0040,0.0020,0.0030,0.2794,0.6876,0.0050,0.0130,0.0060
SIMPS6639H,GS,0.0120,0.0040,0.9131,0.0030,0.0170,0.0050,0.0190,0.0270
SIMPS6641H,PS,0.8990,0.0070,0.0070,0.0010,0.0280,0.0490,0.0060,0.0030
SIMPS6642H,WD,0.0090,0.0030,0.0450,0.0010,0.0140,0.9101,0.0090,0.0090
SIMPS6643H,GD,0.0270,0.0120,0.0150,0.0040,0.0420,0.0040,0.8030,0.0930
SIMPS6644H,JS,0.0030,0.0030,0.0030,0.0010,0.0030,0.0060,0.0020,0.9790
SIMPS6645H,JD,0.0090,0.7960,0.0070,0.0020,0.0130,0.0190,0.1500,0.0040
SIMPS6646H,PD,0.0090,0.0080,0.0030,0.0390,0.9010,0.0020,0.0340,0.0040
SIMPS6652H,GS,0.0100,0.0040,0.9470,0.0050,0.0110,0.0120,0.0080,0.0030
SIMPS6654H,PS,0.8620,0.0050,0.0240,0.0010,0.0270,0.0120,0.0040,0.0650
SIMPS6657H,WD,0.0060,0.0070,0.0120,0.0020,0.0060,0.9550,0.0030,0.0090
SIMPS6658H,GD,0.0160,0.0070,0.0070,0.0020,0.0060,0.0030,0.9500,0.0090
SIMPS6661H,JS,0.0060,0.0040,0.0080,0.0010,0.0030,0.0060,0.0090,0.9630
SIMWD6945H,JD,0.0040,0.9770,0.0020,0.0020,0.0040,0.0060,0.0010,0.0040
SIMWD6947H,PD,0.0040,0.0360,0.0030,0.0020,0.7930,0.1490,0.0040,0.0090
