SIMGD6824H,JD,0.0040,0.8290,0.0260,0.1330,0.0040,0.0010,0.0020,0.0010
SIMGD6825H,PD,0.0700,0.0050,0.0090,0.0170,0.7270,0.1350,0.0040,0.0330
SIMGD6826H,GS,0.0020,0.0030,0.9760,0.0030,0.0040,0.0030,0.0050,0.0040
SIMGD6827H,PS,0.6410,0.1170,0.1880,0.0070,0.0140,0.0030,0.0160,0.0140
SIMGD6828H,WD,0.0400,0.0180,0.1160,0.0570,0.0130,0.4340,0.0350,0.2870
SIMGD6829H,GD,0.0220,0.0080,0.0140,0.0570,0.0040,0.0720,0.8180,0.0050
SIMGD6831H,JS,0.0060,0.0070,0.0020,0.0180,0.0010,0.0030,0.0050,0.9580
SIMGD6833H,JD,0.0190,0.4955,0.0250,0.3197,0.0090,0.0390,0.0150,0.0779
SIMGD6840H,PD,0.0190,0.0190,0.0080,0.0100,0.8859,0.0140,0.0380,0.0060
SIMGD6841H,GS,0.0050,0.1770,0.6390,0.0030,0.0030,0.1560,0.0130,0.0040
SIMGD6844H,PS,0.9251,0.0020,0.0140,0.0020,0.0430,0.0040,0.0030,0.0070
SIMGD6846H,WD,0.0020,0.0020,0.0050,0.0010,0.0020,0.9830,0.0020,0.0030
SIMGD6847H,GD,0.0030,0.0040,0.0020,0.0020,0.0020,0.0030,0.9800,0.0040
SIMGD6848H,JS,0.0040,0.0110,0.3487,0.0330,0.0659,0.2498,0.0240,0.2637
SIMGD6851H,JD,0.0020,0.9430,0.0030,0.0340,0.0020,0.0030,0.0080,0.0050
SIMGS6764H,PD,0.0040,0.0080,0.0040,0.0370,0.9361,0.0030,0.0040,0.0040
SIMGS6765H,GS,0.0030,0.0020,0.9670,0.0090,0.0030,0.0030,0.0050,0.0080
SIMGS6767H,PS,0.9610,0.0020,0.0030,0.0040,0.0120,0.0040,0.0070,0.0070
SIMGS6768H,WD,0.0700,0.0080,0.0100,0.0080,0.1090,0.7790,0.0090,0.0070
SIMGS6769H,GD,0.0240,0.0080,0.0080,0.0410,0.0110,0.0040,0.8989,0.0050
SIMGS6771H,JS,0.0050,0.0020,0.0080,0.0040,0.0040,0.0160,0.0130,0.9480
