SIMGD6824H,JD,0.0040,0.0060,0.0030,0.0020,0.0040,0.9810
SIMGD6825H,PD,0.6643,0.0160,0.0040,0.2478,0.0619,0.0060
SIMGD6826H,GS,0.0140,0.9730,0.0050,0.0020,0.0020,0.0040
SIMGD6827H,PS,0.0120,0.0370,0.0190,0.0050,0.7317,0.1952
SIMGD6828H,WD,0.0130,0.6374,0.0190,0.2667,0.0210,0.0430
SIMGD6829H,GD,0.0050,0.0060,0.8921,0.0639,0.0210,0.0120
SIMGD6831H,JS,0.0030,0.0310,0.0100,0.3700,0.0660,0.5200
SIMGD6833H,JD,0.0080,0.2232,0.0140,0.0611,0.0300,0.6637
SIMGD6840H,PD,0.9129,0.0050,0.0140,0.0070,0.0501,0.0110
SIMGD6841H,GS,0.0040,0.5130,0.0100,0.3380,0.0080,0.1270
SIMGD6844H,PS,0.0300,0.0080,0.0020,0.0040,0.9530,0.0030
SIMGD6846H,WD,0.0030,0.0030,0.0020,0.9870,0.0020,0.0030
SIMGD6847H,GD,0.0020,0.0030,0.9880,0.0030,0.0020,0.0020
SIMGD6848H,JS,0.0661,0.8438,0.0230,0.0470,0.0070,0.0130
SIMGD6851H,JD,0.0030,0.0080,0.0180,0.0070,0.0040,0.9600
SIMGS6764H,PD,0.9570,0.0040,0.0070,0.0090,0.0110,0.0120
SIMGS6765H,GS,0.0040,0.9840,0.0030,0.0030,0.0020,0.0040
SIMGS6767H,PS,0.0080,0.0050,0.0050,0.0050,0.9740,0.0030
SIMGS6768H,WD,0.0330,0.0100,0.0140,0.8030,0.1330,0.0070
SIMGS6769H,GD,0.0270,0.0070,0.9321,0.0040,0.0190,0.0110
SIMGS6771H,JS,0.0140,0.8760,0.0390,0.0510,0.0130,0.0070
SIMGS6773H,JD,0.0030,0.0030,0.0110,0.0030,0.0050,0.9750
SIMGS6775H,PD,0.9800,0.0110,0.0020,0.0030,0.0020,0.0020
SIMGS6776H,GS,0.0220,0.6500,0.0030,0.2650,0.0580,0.0020
SIMGS6778H,PS,0.0050,0.0020,0.0020,0.0120,0.9770,0.0020
SIMGS6780H,WD,0.0050,0.0040,0.0040,0.9690,0.0070,0.0110
SIMGS6784H,GD,0.0100,0.0280,0.9460,0.0060,0.0060,0.0040
SIMGS6785H,JS,0.2840,0.5820,0.0100,0.0080,0.0330,0.0830
SIMGS6788H,JD,0.0460,0.0440,0.0070,0.0090,0.0060,0.8880
SIMGS6789H,PD,0.9540,0.0080,0.0130,0.0040,0.0050,0.0160
SIMGS6790H,GS,0.0040,0.9620,0.0100,0.0020,0.0200,0.0020
