"RS1" "RS2"
"AFMGD6799H" 0.0778166987400296 -1.84736578118846
"AFMGD6801H" -0.0480435301282125 -0.999278864912563
"AFMGD6802H" 0.067571101921114 -0.92419597100057
"AFMGD6803H" 0.203765705843288 -0.71927585499373
"AFMGD6804H" -0.404992359524913 -1.29359544222324
"AFMGD6805H" 0.369908317020168 0.182257246953312
"AFMGD6812H" 0.146185878559588 -1.131942377171
"AFMGD6814H" 0.250116580378668 -0.632505354353566
"AFMGD6818H" 0.291555748727662 -0.954939920515812
"AFMGD6819H" 0.029165400799106 -0.98366740251819
"AFMGD6820H" 0.410052286129068 0.138408325697128
"AFMGD6821H" 0.374524759052622 0.00596894666367604
"AFMGD6822H" 0.0643827289857276 -0.991033627244668
"AFMGS6734H" 0.882110276243779 1.3850383914404
"AFMGS6735H" 0.404240892400017 0.944698987284705
"AFMGS6736H" 0.790086591800268 0.822579582305403
"AFMGS6737H" 0.428638605434783 0.509819867814421
"AFMGS6738H" 0.601888331191659 0.272474923872928
"AFMGS6739H" 0.555445676738004 0.808841663358482
"AFMGS6740H" 0.480577388890484 1.00849545642918
"AFMGS6743H" 0.743876660419638 1.39194611609715
"AFMGS6745H" 0.575435236821907 0.71222280638528
"AFMGS6747H" 0.636680979777836 0.500475829768588
"AFMGS6750H" 0.70515612202344 0.882860416161198
"AFMGS6751H" 0.413666889498135 1.03535170550408
"AFMGS6752H" 0.839665135662225 1.51453394900783
"AFMGS6755H" 0.284965485253949 0.520779758053217
"AFMGS6756H" 0.612645168251158 0.311276485394394
"AFMJD6855H" 0.167250708754072 -1.30844047407603
"AFMJD6856H" -0.256559809139413 -2.23686813998963
"AFMJD6857H" 0.15937892166912 -1.18727213717921
"AFMJD6858H" -0.00067161576482376 -0.714551615728524
"AFMJD6859H" -0.432284559201892 -1.62901292120348
"AFMJD6861H" 0.179709814467293 -0.816445162813675
"AFMJD6864H" 0.32325893102631 -0.412852790271475
"AFMJD6873H" -0.373632735363624 -1.41969980780827
"AFMJD6875H" 0.0202367929740705 -0.697141817691357
"AFMJD6876H" -0.00154530820663394 -1.335007289914
"AFMJD6877H" -0.200203055288462 -0.953639879570931
"AFMJD6878H" -0.772807038806091 -1.51593275185714
"AFMJS6675H" 0.596912414893306 1.25761094179585
"AFMJS6676H" 0.587128892319271 0.961198149516287
"AFMJS6678H" 0.552820519082781 0.647034494859373
"AFMJS6680H" 0.316777986151418 0.454550408291087
"AFMJS6681H" 0.494192754917298 0.907872258359058
"AFMJS6682H" 0.430350420406223 0.335276427335285
"AFMJS6683H" 0.709992815562812 1.43473289261122
"AFMJS6687H" 0.556707661854287 0.664486332212417
"AFMJS6694H" 0.475435584694517 0.445384429313615
"AFMJS6695H" 0.475560511690776 0.832884300346637
"AFMJS6696H" 0.571064449964379 0.615668653934639
"AFMJS6698H" 0.620924624906852 0.570044621806253
"AFMJS6700H" 0.38571025165241 1.02492605356923
"AFMJS6702H" 0.40264968321227 0.441176815987299
"AFMPD6983H" 0.183448972962312 0.087764138136505
"AFMPD6985H" 0.165153495279582 -0.571661494430895
"AFMPD6986H" -0.0162197603441405 -1.00397204919177
"AFMPD6987H" -0.412249241870011 -2.31448955683631
"AFMPD6988H" 0.277796925832019 -0.58812574272729
"AFMPD6989H" 0.167957016348876 -1.19106459546816
"AFMPD6990H" 0.264772103279853 -0.33842115796998
"AFMPD6991H" 0.0378325719057088 -1.00946927810053
"AFMPD6992H" -0.0658354569126582 -0.457444122537023
"AFMPD6993H" 0.0101190383918348 -0.520216872965808
"AFMPD6995H" 0.27938016881604 -0.254786162613627
"AFMPD6998H" 0.111853165319004 -0.883336819459781
"AFMPD7000H" 0.11158565630874 -0.763596355781251
"AFMPD7001H" 0.391385183400057 -0.623957869632084
"AFMPD7005H" -0.343001676145313 -0.81810914233373
"AFMPD7006H" 0.0711630288311101 -0.684068618241912
"AFMPS6602H" 0.589072544444079 0.685131130179532
"AFMPS6603H" 0.820669620859386 1.48242717396422
"AFMPS6608H" 0.36930519494958 0.389686630994466
"AFMPS6610H" 0.627212111803925 0.908187061731303
"AFMPS6612H" 0.469207250397736 0.84381897773072
"AFMPS6613H" 0.275662742774248 0.422962901531684
"AFMPS6618H" 0.674320518941616 1.9305584725245
"AFMPS6622H" 0.711344192288605 1.38677120928048
"AFMPS6623H" 0.57381360003481 1.16830348507168
"AFMPS6625H" 0.467967583055917 0.631825478648669
"AFMPS6626H" 0.121114545466154 1.36101138566165
"AFMPS6627H" 0.710202046161049 1.44723664184881
"AFMPX6982H" -0.0429040979454845 -0.513535052847831
"AFMWD6915H" -0.598944048697398 -0.503482687081706
"AFMWD6916H" -1.91718171153043 -0.0276274307868021
"AFMWD6917H" -2.18724518948469 -0.109396487877572
"AFMWD6918H" -1.59535111520527 -0.403269761322352
"AFMWD6919H" -2.04182076909934 0.595682568631434
"AFMWD6920H" -0.0288946177155408 -0.332289100395399
"AFMWD6921H" -1.90447104841549 -0.132133607409229
"AFMWD6922H" -1.21531223359353 -0.437052604861711
"AFMWD6923H" -0.476186874243516 -0.660569511759062
"AFMWD6924H" -4.48307327506473 2.419719788935
"AFMWD6926H" -0.0284303212605037 -0.720425791027306
"AFMWD6933H" -1.39583398902351 -0.385945685259085
"AFMWD6935H" -6.13430847379592 2.34278718020501
"AFMWD6936H" -0.370523752844584 -0.691638520061617
