AFMGD6799H,GD,0.0010,0.0030,0.0030,0.9930
AFMGD6801H,GD,0.0030,0.1409,0.4585,0.3976
AFMGD6802H,GD,0.0030,0.0760,0.6350,0.2860
AFMGD6803H,GD,0.0020,0.1590,0.4560,0.3830
AFMGD6804H,GD,0.0020,0.0010,0.9930,0.0040
AFMGD6805H,GD,0.0190,0.6740,0.1110,0.1960
AFMGD6812H,GD,0.0020,0.0310,0.2630,0.7040
AFMGD6814H,GD,0.0010,0.2040,0.4590,0.3360
AFMGD6818H,GD,0.0010,0.1882,0.4885,0.3223
AFMGD6819H,GD,0.0020,0.0150,0.6913,0.2917
AFMGD6820H,GD,0.0190,0.5840,0.2410,0.1560
AFMGD6821H,GD,0.0690,0.4970,0.3400,0.0940
AFMGD6822H,GD,0.0010,0.0020,0.9750,0.0220
AFMGS6734H,GS,0.0010,0.9620,0.0330,0.0040
AFMGS6735H,GS,0.0030,0.8791,0.0430,0.0749
AFMGS6736H,GS,0.0010,0.9730,0.0030,0.0230
AFMGS6737H,GS,0.0050,0.7230,0.2670,0.0050
AFMGS6738H,GS,0.0010,0.7818,0.0150,0.2022
AFMGS6739H,GS,0.0030,0.7518,0.2402,0.0050
AFMGS6740H,GS,0.0030,0.9291,0.0040,0.0639
AFMGS6743H,GS,0.0030,0.9900,0.0040,0.0030
AFMGS6745H,GS,0.0060,0.7420,0.2410,0.0110
AFMGS6747H,GS,0.0010,0.8730,0.1180,0.0080
AFMGS6750H,GS,0.0010,0.9760,0.0200,0.0030
AFMGS6751H,GS,0.0080,0.9630,0.0260,0.0030
AFMGS6752H,GS,0.0010,0.9970,0.0010,0.0010
AFMGS6755H,GS,0.0060,0.9150,0.0740,0.0050
AFMGS6756H,GS,0.0010,0.7962,0.1988,0.0040
AFMJD6855H,JD,0.0010,0.0020,0.0040,0.9930
AFMJD6856H,JD,0.0010,0.0010,0.0020,0.9960
AFMJD6857H,JD,0.0010,0.0270,0.2750,0.6970
AFMJD6858H,JD,0.0100,0.2840,0.1760,0.5300
AFMJD6859H,JD,0.0659,0.0030,0.5445,0.3866
AFMJD6861H,JD,0.0020,0.1191,0.2452,0.6336
AFMJD6864H,JD,0.0030,0.1980,0.6300,0.1690
AFMJD6873H,JD,0.0050,0.0020,0.6260,0.3670
AFMJD6875H,JD,0.0080,0.1562,0.7017,0.1341
AFMJD6876H,JD,0.0040,0.0420,0.3450,0.6090
AFMJD6877H,JD,0.0570,0.1170,0.0790,0.7470
AFMJD6878H,JD,0.1570,0.0020,0.1110,0.7300
AFMJS6675H,JS,0.0020,0.9480,0.0490,0.0010
AFMJS6676H,JS,0.0090,0.9820,0.0050,0.0040
AFMJS6678H,JS,0.0030,0.9420,0.0190,0.0360
AFMJS6680H,JS,0.0050,0.8430,0.0290,0.1230
AFMJS6681H,JS,0.0070,0.9310,0.0600,0.0020
AFMJS6682H,JS,0.0030,0.6480,0.1610,0.1880
AFMJS6683H,JS,0.0030,0.9910,0.0040,0.0020
AFMJS6687H,JS,0.0110,0.9270,0.0570,0.0050
AFMJS6694H,JS,0.0010,0.9410,0.0530,0.0050
AFMJS6695H,JS,0.0020,0.9840,0.0050,0.0090
AFMJS6696H,JS,0.0110,0.9000,0.0790,0.0100
AFMJS6698H,JS,0.0010,0.7180,0.2780,0.0030
AFMJS6700H,JS,0.0170,0.8850,0.0960,0.0020
AFMJS6702H,JS,0.0040,0.7063,0.2178,0.0719
AFMPD6983H,PD,0.1670,0.5860,0.2290,0.0180
AFMPD6985H,PD,0.0020,0.1950,0.3690,0.4340
AFMPD6986H,PD,0.0060,0.0120,0.9560,0.0260
AFMPD6987H,PD,0.0020,0.0010,0.3890,0.6080
AFMPD6988H,PD,0.0020,0.2398,0.7123,0.0460
AFMPD6989H,PD,0.0420,0.1920,0.0230,0.7430
AFMPD6990H,PD,0.0030,0.3390,0.4960,0.1620
AFMPD6991H,PD,0.0080,0.1390,0.2910,0.5620
AFMPD6992H,PD,0.1530,0.1680,0.6620,0.0170
AFMPD6993H,PD,0.0620,0.2950,0.2110,0.4320
AFMPD6995H,PD,0.0050,0.2250,0.7480,0.0220
AFMPD6998H,PD,0.0250,0.2070,0.3100,0.4580
AFMPD7000H,PD,0.1120,0.1170,0.7460,0.0250
AFMPD7001H,PD,0.0020,0.3370,0.1590,0.5020
AFMPD7005H,PD,0.1100,0.1650,0.4020,0.3230
AFMPD7006H,PD,0.0030,0.2630,0.6850,0.0490
AFMPS6602H,PS,0.0010,0.9750,0.0210,0.0030
AFMPS6603H,PS,0.0010,0.9970,0.0010,0.0010
AFMPS6608H,PS,0.0020,0.9440,0.0510,0.0030
AFMPS6610H,PS,0.0010,0.9960,0.0020,0.0010
AFMPS6612H,PS,0.0150,0.9720,0.0100,0.0030
AFMPS6613H,PS,0.0250,0.8352,0.0529,0.0869
AFMPS6618H,PS,0.1260,0.8670,0.0050,0.0020
AFMPS6622H,PS,0.0030,0.9920,0.0030,0.0020
AFMPS6623H,PS,0.0230,0.9620,0.0090,0.0060
AFMPS6625H,PS,0.0070,0.8030,0.0830,0.1070
AFMPS6626H,PS,0.1510,0.7860,0.0610,0.0020
AFMPS6627H,PS,0.0070,0.9870,0.0040,0.0020
AFMPX6982H,PD,0.0869,0.2258,0.4765,0.2108
AFMWD6915H,WD,0.4640,0.0130,0.4320,0.0910
AFMWD6916H,WD,0.5904,0.0959,0.2877,0.0260
AFMWD6917H,WD,0.7982,0.0330,0.1299,0.0390
AFMWD6918H,WD,0.6520,0.0900,0.1570,0.1010
AFMWD6919H,WD,0.7277,0.1281,0.1411,0.0030
AFMWD6920H,WD,0.0580,0.1990,0.7370,0.0060
AFMWD6921H,WD,0.6880,0.0020,0.3080,0.0020
AFMWD6922H,WD,0.6750,0.0390,0.0130,0.2730
AFMWD6923H,WD,0.5205,0.0050,0.4715,0.0030
AFMWD6924H,WD,0.9560,0.0290,0.0080,0.0070
AFMWD6926H,WD,0.0090,0.0500,0.7220,0.2190
AFMWD6933H,WD,0.7580,0.0110,0.2260,0.0050
AFMWD6935H,WD,0.9950,0.0010,0.0010,0.0030
AFMWD6936H,WD,0.3000,0.0090,0.6800,0.0110
